Date,FundValue
2022-01-03,332048.8290844727
2022-01-04,330384.0314961243
2022-01-05,322619.3325634766
2022-01-06,321510.15181072237
2022-01-07,319853.47194965364
2022-01-10,318658.7183686066
2022-01-11,321251.25195224764
2022-01-12,322208.0888310242
2022-01-13,315918.9885855484
2022-01-14,315334.59169586183
2022-01-18,309940.4893818665
2022-01-19,310520.4558106232
2022-01-20,309284.7214794922
2022-01-21,304943.3593941498
2022-01-24,304845.0775690842
2022-01-25,302386.14696987154
2022-01-26,303397.17798622133
2022-01-27,301588.0600491333
2022-01-28,306707.3818503189
2022-01-31,312161.4148503113
2022-02-01,313498.42110450746
2022-02-02,313623.13858898164
2022-02-03,308041.1408253479
2022-02-04,310297.5315104294
2022-02-07,310389.02345855715
2022-02-08,313446.0882149506
2022-02-09,318280.4464569855
2022-02-10,312633.12901981355
2022-02-11,309095.81187923433
2022-02-14,306573.3506975937
2022-02-15,311882.10125644685
2022-02-16,311932.9795895386
2022-02-17,306132.4516812134
2022-02-18,303964.63992889406
2022-02-22,300944.9806223679
2022-02-23,296896.806307869
2022-02-24,301027.47919757845
2022-02-25,305775.77025039674
2022-02-28,306025.1924324799
2022-03-01,301944.79301651
2022-03-02,305392.47968013765
2022-03-03,301509.90242012026
2022-03-04,297350.8568793106
2022-03-07,289870.0116186905
2022-03-08,289529.5595589447
2022-03-09,295641.4310770798
2022-03-10,294357.2798205185
2022-03-11,290746.8612614441
2022-03-14,288741.6899023819
2022-03-15,294434.73800094606
2022-03-16,301167.68163116457
2022-03-17,303289.5697890091
2022-03-18,307023.14788253786
2022-03-21,306030.3614064026
2022-03-22,308646.65898521425
2022-03-23,305533.8180332947
2022-03-24,308722.4614468384
2022-03-25,310124.9291039276
2022-03-28,311336.98402793886
2022-03-29,316923.5809441376
2022-03-30,314831.3365612793
2022-03-31,310040.0089798737
2022-04-01,310808.7524872589
2022-04-04,312416.1700115967
2022-04-05,308270.82898529054
2022-04-06,301347.72119148256
2022-04-07,302768.0395499039
2022-04-08,301715.68045528413
2022-04-11,296450.84100444795
2022-04-12,294598.92976005556
2022-04-13,296470.13901527406
2022-04-14,292166.65609272005
2022-04-18,291865.04860790254
2022-04-19,294921.55657203676
2022-04-20,295055.0475207138
2022-04-21,290859.3784724045
2022-04-22,285149.4293213654
2022-04-25,287076.052319603
2022-04-26,280231.88959653856
2022-04-27,281981.64110954286
2022-04-28,288432.4307528305
2022-04-29,282048.2575856018
2022-05-02,284030.4806404877
2022-05-03,284226.0687943268
2022-05-04,290956.96185024263
2022-05-05,282815.0608216095
2022-05-06,281688.5418353844
2022-05-09,273855.498050766
2022-05-10,274893.49871356966
2022-05-11,270538.7466259766
2022-05-12,269561.7720833588
2022-05-13,275334.42813022615
2022-05-16,274434.4488797951
2022-05-17,278395.03236968996
2022-05-18,270510.33043153764
2022-05-19,270898.5309968758
2022-05-20,271203.53008897783
2022-05-23,275224.13931663515
2022-05-24,274695.02851350786
2022-05-25,276865.27800138475
2022-05-26,279966.96968992235
2022-05-27,284742.72877796175
2022-05-31,283756.41970069887
2022-06-01,282112.282126503
2022-06-02,285442.40793807985
2022-06-03,281812.73695619585
2022-06-06,281372.0912347603
2022-06-07,283397.27977808
2022-06-08,281139.0399761963
2022-06-09,276569.71128590585
2022-06-10,270176.6915167141
2022-06-13,262570.5489176083
2022-06-14,262231.66004498483
2022-06-15,265181.09885175707
2022-06-16,259427.8798917103
2022-06-17,260307.50962789537
2022-06-21,264898.9908748436
2022-06-22,264246.00165994646
2022-06-23,266513.7283926773
2022-06-24,271474.55268223764
2022-06-27,270491.572992878
2022-06-28,265968.70266087534
2022-06-29,266584.7724197674
2022-06-30,264184.8767965603
2022-07-01,266393.88783295633
2022-07-05,266797.0797804165
2022-07-06,267086.89878948213
2022-07-07,270108.8298252392
2022-07-08,270245.3512786198
2022-07-11,267922.83230264665
2022-07-12,265001.8090670872
2022-07-13,264975.4202853012
2022-07-14,264104.9015546608
2022-07-15,267904.079475956
2022-07-18,266951.56040390016
2022-07-19,272383.5295754242
2022-07-20,274159.15722187044
2022-07-21,275810.92001731874
2022-07-22,273046.43777664186
2022-07-25,272318.1386028099
2022-07-26,270082.46865327837
2022-07-27,277278.3486276436
2022-07-28,280949.5793567467
2022-07-29,283166.7080221939
2022-08-01,282445.58380039217
2022-08-02,281071.8491354752
2022-08-03,285973.2997356224
2022-08-04,285892.9202309418
2022-08-05,285729.4219799805
2022-08-08,284742.27005823137
2022-08-09,284398.04695280077
2022-08-10,291097.4487000275
2022-08-11,290880.05891139986
2022-08-12,294507.73008163454
2022-08-15,295423.45148284914
2022-08-16,295582.84989364626
2022-08-17,292578.47247226717
2022-08-18,293159.1191864777
2022-08-19,289278.5596743393
2022-08-22,283983.5705176163
2022-08-23,283588.6601410675
2022-08-24,284569.32963188173
2022-08-25,287194.1303396988
2022-08-26,279252.5296970177
2022-08-29,277861.65318496706
2022-08-30,275765.0206733513
2022-08-31,274964.1010876465
2022-09-01,274506.8781853485
2022-09-02,272415.717898922
2022-09-06,271127.13908298494
2022-09-07,274549.79096897127
2022-09-08,276732.55629070284
2022-09-09,279471.4870682526
2022-09-12,281419.08778198244
2022-09-13,272549.4417963791
2022-09-14,273704.4812870789
2022-09-15,271504.6410895157
2022-09-16,270227.10134609224
2022-09-19,272013.78190143587
2022-09-20,269270.8382921982
2022-09-21,266555.4607964325
2022-09-22,264900.98021133424
2022-09-23,261763.0101118851
2022-09-26,259613.73871047975
2022-09-27,259082.9389000702
2022-09-28,263051.5213948059
2022-09-29,259347.7484112549
2022-09-30,256749.53018386842
2022-10-03,261731.61101730348
2022-10-04,267774.63992603304
2022-10-05,267227.79916866304
2022-10-06,265545.58855064394
2022-10-07,259396.73180301668
2022-10-10,257192.32793291094
2022-10-11,255648.96117837908
2022-10-12,255452.4888201523
2022-10-13,260878.4813915062
2022-10-14,256191.96961410524
2022-10-17,261143.53999956133
2022-10-18,263266.9205990601
2022-10-19,261705.3401323128
2022-10-20,261014.32859619142
2022-10-21,265344.6697846222
2022-10-24,267585.5201154518
