,Consumer_Fund_Value
2019-02-12,2447.5200805664062
2019-02-13,2469.1199340820312
2019-02-14,2474.8800659179688
2019-02-15,2474.3999633789062
2019-02-16,2493.1199340820312
2019-02-17,2493.1199340820312
2019-02-18,2493.1199340820312
2019-02-19,2493.1199340820312
2019-02-20,2515.2000732421875
2019-02-21,2512.7999267578125
2019-02-22,2516.6400146484375
2019-02-23,2542.56005859375
2019-02-24,2542.56005859375
2019-02-25,2542.56005859375
2019-02-26,2521.9200439453125
2019-02-27,2521.43994140625
2019-02-28,2518.56005859375
2019-03-01,2556.0
2019-03-02,2538.719970703125
2019-03-03,2538.719970703125
2019-03-04,2538.719970703125
2019-03-05,2543.5200805664062
2019-03-06,2512.3200073242188
2019-03-07,2482.56005859375
2019-03-08,2502.719970703125
2019-03-09,2626.56005859375
2019-03-10,2626.56005859375
2019-03-11,2626.56005859375
2019-03-12,2639.5200805664062
2019-03-13,2667.840087890625
2019-03-14,2642.8800659179688
2019-03-15,2670.719970703125
2019-03-16,2667.840087890625
2019-03-17,2667.840087890625
2019-03-18,2667.840087890625
2019-03-19,2616.9600219726562
2019-03-20,2589.1199340820312
2019-03-21,2584.7999267578125
2019-03-22,2572.3200073242188
2019-03-23,2585.280029296875
2019-03-24,2585.280029296875
2019-03-25,2585.280029296875
2019-03-26,2624.159912109375
2019-03-27,2587.2000732421875
2019-03-28,2583.840087890625
2019-03-29,2585.7599487304688
2019-03-30,2611.6799926757812
2019-03-31,2611.6799926757812
2019-04-01,2611.6799926757812
2019-04-02,2591.0399780273438
2019-04-03,2633.7599487304688
2019-04-04,2654.8800659179688
2019-04-05,2670.719970703125
2019-04-06,2690.3999633789062
2019-04-07,2690.3999633789062
2019-04-08,2690.3999633789062
2019-04-09,2667.3599853515625
2019-04-10,2716.3200073242188
2019-04-11,2765.7599487304688
2019-04-12,2807.5200805664062
2019-04-13,2823.840087890625
2019-04-14,2823.840087890625
2019-04-15,2823.840087890625
2019-04-16,2798.8800659179688
2019-04-17,2749.9200439453125
2019-04-18,2761.43994140625
2019-04-19,2753.280029296875
2019-04-20,2753.280029296875
2019-04-21,2753.280029296875
2019-04-22,2753.280029296875
2019-04-23,2778.719970703125
2019-04-24,2781.6000366210938
2019-04-25,2768.6400146484375
2019-04-26,2795.5200805664062
2019-04-27,2809.43994140625
2019-04-28,2809.43994140625
2019-04-29,2809.43994140625
2019-04-30,2822.3999633789062
2019-05-01,2820.0
2019-05-02,2571.3599853515625
2019-05-03,2590.56005859375
2019-05-04,2563.2000732421875
2019-05-05,2563.2000732421875
2019-05-06,2563.2000732421875
2019-05-07,2524.3200073242188
2019-05-08,2470.56005859375
2019-05-09,2451.3599853515625
2019-05-10,2443.2000732421875
2019-05-11,2382.719970703125
2019-05-12,2382.719970703125
2019-05-13,2382.719970703125
2019-05-14,2366.8800659179688
2019-05-15,2330.8800659179688
2019-05-16,2342.3999633789062
2019-05-17,2333.7599487304688
2019-05-18,2310.719970703125
2019-05-19,2310.719970703125
2019-05-20,2310.719970703125
2019-05-21,2325.6000366210938
2019-05-22,2287.6799926757812
2019-05-23,2292.0
2019-05-24,2297.7599487304688
2019-05-25,2289.1199340820312
2019-05-26,2289.1199340820312
2019-05-27,2289.1199340820312
2019-05-28,2289.1199340820312
2019-05-29,2268.4799194335938
2019-05-30,2266.56005859375
2019-05-31,2256.9600219726562
2019-06-01,2283.840087890625
2019-06-02,2283.840087890625
2019-06-03,2283.840087890625
2019-06-04,2348.159912109375
2019-06-05,2355.840087890625
2019-06-06,2407.6799926757812
2019-06-07,2415.3599853515625
2019-06-08,2424.4799194335938
2019-06-09,2424.4799194335938
2019-06-10,2424.4799194335938
2019-06-11,2407.6799926757812
2019-06-12,2394.719970703125
2019-06-13,2407.6799926757812
2019-06-14,2436.0
2019-06-15,2436.9600219726562
2019-06-16,2436.9600219726562
2019-06-17,2436.9600219726562
2019-06-18,2469.1199340820312
2019-06-19,2464.3200073242188
2019-06-20,2444.6400146484375
2019-06-21,2408.6400146484375
2019-06-22,2427.3599853515625
2019-06-23,2427.3599853515625
2019-06-24,2427.3599853515625
2019-06-25,2465.280029296875
2019-06-26,2430.719970703125
2019-06-27,2470.56005859375
2019-06-28,2524.3200073242188
2019-06-29,2582.8800659179688
2019-06-30,2582.8800659179688
2019-07-01,2582.8800659179688
2019-07-02,2585.7599487304688
2019-07-03,2602.0799560546875
2019-07-04,2609.280029296875
2019-07-05,2609.280029296875
2019-07-06,2606.8800659179688
2019-07-07,2606.8800659179688
2019-07-08,2606.8800659179688
2019-07-09,2580.0
2019-07-10,2582.3999633789062
2019-07-11,2599.6799926757812
2019-07-12,2546.8800659179688
2019-07-13,2517.6000366210938
2019-07-14,2517.6000366210938
2019-07-15,2517.6000366210938
2019-07-16,2584.3200073242188
2019-07-17,2576.159912109375
2019-07-18,2615.5200805664062
2019-07-19,2575.2000732421875
2019-07-20,2556.4799194335938
2019-07-21,2556.4799194335938
2019-07-22,2556.4799194335938
2019-07-23,2595.840087890625
2019-07-24,2599.2000732421875
2019-07-25,2584.7999267578125
2019-07-26,2615.0399780273438
2019-07-27,2649.1199340820312
2019-07-28,2649.1199340820312
2019-07-29,2649.1199340820312
2019-07-30,2253.1199340820312
2019-07-31,2162.3999633789062
2019-08-01,2097.1199340820312
2019-08-02,2095.2000732421875
2019-08-03,2046.2400512695312
2019-08-04,2046.2400512695312
2019-08-05,2046.2400512695312
2019-08-06,2033.7599487304688
2019-08-07,2029.43994140625
2019-08-08,2039.0399780273438
2019-08-09,2026.0799560546875
2019-08-10,1975.2000732421875
2019-08-11,1975.2000732421875
2019-08-12,1975.2000732421875
2019-08-13,1971.840087890625
2019-08-14,1881.6000366210938
2019-08-15,1870.56005859375
2019-08-16,1901.7599487304688
2019-08-17,1916.159912109375
2019-08-18,1916.159912109375
2019-08-19,1916.159912109375
2019-08-20,1891.6799926757812
2019-08-21,1915.6799926757812
2019-08-22,1968.4799194335938
2019-08-23,1920.4799194335938
2019-08-24,1916.159912109375
2019-08-25,1916.159912109375
2019-08-26,1916.159912109375
2019-08-27,1853.7599487304688
2019-08-28,1867.6799926757812
2019-08-29,1877.280029296875
2019-08-30,1878.719970703125
2019-08-31,1835.5200805664062
2019-09-01,1835.5200805664062
2019-09-02,1835.5200805664062
2019-09-03,1835.5200805664062
2019-09-04,1840.7999267578125
2019-09-05,1862.8800659179688
2019-09-06,1860.9600219726562
2019-09-07,1834.0799560546875
2019-09-08,1834.0799560546875
2019-09-09,1834.0799560546875
2019-09-10,1904.159912109375
2019-09-11,1890.719970703125
2019-09-12,1871.5200805664062
2019-09-13,1948.3200073242188
2019-09-14,1903.6799926757812
2019-09-15,1903.6799926757812
2019-09-16,1903.6799926757812
2019-09-17,1896.4799194335938
2019-09-18,1882.56005859375
2019-09-19,1854.719970703125
2019-09-20,1869.1199340820312
2019-09-21,1894.0799560546875
2019-09-22,1894.0799560546875
2019-09-23,1894.0799560546875
2019-09-24,1880.6400146484375
2019-09-25,1908.9600219726562
2019-09-26,1887.840087890625
2019-09-27,1887.3599853515625
2019-09-28,1884.9600219726562
2019-09-29,1884.9600219726562
2019-09-30,1884.9600219726562
2019-10-01,1831.2000732421875
2019-10-02,1793.7599487304688
2019-10-03,1807.2000732421875
2019-10-04,1829.7599487304688
2019-10-05,1841.280029296875
2019-10-06,1841.280029296875
2019-10-07,1841.280029296875
2019-10-08,1800.9600219726562
2019-10-09,1824.4799194335938
2019-10-10,1835.5200805664062
2019-10-11,1873.43994140625
2019-10-12,1848.0
2019-10-13,1848.0
2019-10-14,1848.0
2019-10-15,1842.719970703125
2019-10-16,1847.5200805664062
2019-10-17,1861.9200439453125
2019-10-18,1886.3999633789062
2019-10-19,1899.3599853515625
2019-10-20,1899.3599853515625
2019-10-21,1899.3599853515625
2019-10-22,1929.6000366210938
2019-10-23,1986.2400512695312
2019-10-24,1999.2000732421875
2019-10-25,2036.6400146484375
2019-10-26,2049.6000366210938
2019-10-27,2049.6000366210938
2019-10-28,2049.6000366210938
2019-10-29,2048.6400146484375
2019-10-30,2033.7599487304688
2019-10-31,1992.4799194335938
2019-11-01,2038.0799560546875
2019-11-02,1990.56005859375
2019-11-03,1990.56005859375
2019-11-04,1990.56005859375
