,Energy_Fund_Value
2018-02-20,5416.900043487549
2018-02-21,5329.499855041504
2018-02-22,5432.100028991699
2018-02-23,5511.900043487549
2018-02-24,5459.650115966797
2018-02-25,5459.650115966797
2018-02-26,5459.650115966797
2018-02-27,5415.0
2018-02-28,5351.350173950195
2018-03-01,5368.449840545654
2018-03-02,5422.600173950195
2018-03-03,5406.44998550415
2018-03-04,5406.44998550415
2018-03-05,5406.44998550415
2018-03-06,5416.900043487549
2018-03-07,5387.449913024902
2018-03-08,5376.999855041504
2018-03-09,5444.4501304626465
2018-03-10,5471.05001449585
2018-03-11,5471.05001449585
2018-03-12,5471.05001449585
2018-03-13,5487.199840545654
2018-03-14,5430.19998550415
2018-03-15,5380.799942016602
2018-03-16,5491.9501304626465
2018-03-17,5364.650115966797
2018-03-18,5364.650115966797
2018-03-19,5364.650115966797
2018-03-20,5475.799942016602
2018-03-21,5553.699913024902
2018-03-22,5446.350173950195
2018-03-23,5391.25
2018-03-24,5416.900043487549
2018-03-25,5416.900043487549
2018-03-26,5416.900043487549
2018-03-27,5411.199913024902
2018-03-28,5284.850101470947
2018-03-29,5407.399826049805
2018-03-30,5333.299942016602
2018-03-31,5333.299942016602
2018-04-01,5333.299942016602
2018-04-02,5333.299942016602
2018-04-03,5376.999855041504
2018-04-04,5369.400043487549
2018-04-05,5456.7998695373535
2018-04-06,5385.5498695373535
2018-04-07,5391.25
2018-04-08,5391.25
2018-04-09,5391.25
2018-04-10,5539.4501304626465
2018-04-11,5568.899898529053
2018-04-12,5540.399971008301
2018-04-13,5558.449840545654
2018-04-14,5676.25
2018-04-15,5676.25
2018-04-16,5676.25
2018-04-17,5668.649826049805
2018-04-18,5683.850173950195
2018-04-19,5675.300159454346
2018-04-20,5656.300086975098
2018-04-21,5696.199913024902
2018-04-22,5696.199913024902
2018-04-23,5696.199913024902
2018-04-24,5642.049942016602
2018-04-25,5661.999855041504
2018-04-26,5712.350101470947
2018-04-27,5688.600101470947
2018-04-28,5720.900115966797
2018-04-29,5720.900115966797
2018-04-30,5720.900115966797
2018-05-01,5746.550159454346
2018-05-02,5944.149971008301
2018-05-03,5969.80001449585
2018-05-04,6027.750072479248
2018-05-05,6086.649971008301
2018-05-06,6086.649971008301
2018-05-07,6086.649971008301
2018-05-08,6074.2998695373535
2018-05-09,6147.449913024902
2018-05-10,6203.500289916992
2018-05-11,6252.899971008301
2018-05-12,6326.049652099609
2018-05-13,6326.049652099609
2018-05-14,6326.049652099609
2018-05-15,6333.649826049805
2018-05-16,6331.750144958496
2018-05-17,6319.399681091309
2018-05-18,6295.649681091309
2018-05-19,6316.5497970581055
2018-05-20,6316.5497970581055
2018-05-21,6316.5497970581055
2018-05-22,6275.699768066406
2018-05-23,6339.350318908691
2018-05-24,6306.099739074707
2018-05-25,6259.549942016602
2018-05-26,6298.500289916992
2018-05-27,6298.500289916992
2018-05-28,6298.500289916992
2018-05-29,6298.500289916992
2018-05-30,6481.850318908691
2018-05-31,6475.200347900391
2018-06-01,6508.4502029418945
2018-06-02,6488.500289916992
2018-06-03,6488.500289916992
2018-06-04,6488.500289916992
2018-06-05,6514.149971008301
2018-06-06,6427.700347900391
2018-06-07,6512.250289916992
2018-06-08,6502.749710083008
2018-06-09,6556.899681091309
2018-06-10,6556.899681091309
2018-06-11,6556.899681091309
2018-06-12,6577.7997970581055
2018-06-13,6542.650260925293
2018-06-14,6587.299652099609
2018-06-15,6439.099884033203
2018-06-16,6509.399681091309
2018-06-17,6509.399681091309
2018-06-18,6509.399681091309
2018-06-19,6535.050086975098
2018-06-20,6656.649971008301
2018-06-21,6534.099884033203
2018-06-22,6649.0497970581055
2018-06-23,6526.499710083008
