,Financial_Fund_Value
2019-02-12,8510.2001953125
2019-02-13,8549.000244140625
2019-02-14,8467.60009765625
2019-02-15,8639.000244140625
2019-02-16,8621.400146484375
2019-02-17,8621.400146484375
2019-02-18,8621.400146484375
2019-02-19,8621.400146484375
2019-02-20,8744.400024414062
2019-02-21,8700.399780273438
2019-02-22,8734.400024414062
2019-02-23,8778.599853515625
2019-02-24,8778.599853515625
2019-02-25,8778.599853515625
2019-02-26,8810.599975585938
2019-02-27,8840.2001953125
2019-02-28,8864.400024414062
2019-03-01,8875.399780273438
2019-03-02,8746.599731445312
2019-03-03,8746.599731445312
2019-03-04,8746.599731445312
2019-03-05,8650.399780273438
2019-03-06,8597.19970703125
2019-03-07,8463.800048828125
2019-03-08,8426.199951171875
2019-03-09,8562.000122070312
2019-03-10,8562.000122070312
2019-03-11,8562.000122070312
2019-03-12,8556.799926757812
2019-03-13,8636.799926757812
2019-03-14,8672.60009765625
2019-03-15,8670.999755859375
2019-03-16,8809.600219726562
2019-03-17,8809.600219726562
2019-03-18,8809.600219726562
2019-03-19,8691.400146484375
2019-03-20,8598.400268554688
2019-03-21,8607.19970703125
2019-03-22,8347.19970703125
2019-03-23,8308.200073242188
2019-03-24,8308.200073242188
2019-03-25,8308.200073242188
2019-03-26,8453.400268554688
2019-03-27,8392.80029296875
2019-03-28,8499.400024414062
2019-03-29,8547.39990234375
2019-03-30,8767.80029296875
2019-03-31,8767.80029296875
2019-04-01,8767.80029296875
2019-04-02,8729.000244140625
2019-04-03,8781.400146484375
2019-04-04,8836.799926757812
2019-04-05,8902.000122070312
2019-04-06,8922.80029296875
2019-04-07,8922.80029296875
2019-04-08,8922.80029296875
2019-04-09,8796.199951171875
2019-04-10,8855.2001953125
2019-04-11,8922.19970703125
2019-04-12,9087.000122070312
2019-04-13,9037.19970703125
2019-04-14,9037.19970703125
2019-04-15,9037.19970703125
2019-04-16,9330.800170898438
2019-04-17,9349.7998046875
2019-04-18,9313.800048828125
2019-04-19,9280.399780273438
2019-04-20,9280.399780273438
2019-04-21,9280.399780273438
2019-04-22,9280.399780273438
2019-04-23,9480.599975585938
2019-04-24,9603.400268554688
2019-04-25,9489.000244140625
2019-04-26,9579.600219726562
2019-04-27,9596.799926757812
2019-04-28,9596.799926757812
2019-04-29,9596.799926757812
2019-04-30,9704.7998046875
2019-05-01,9582.60009765625
2019-05-02,9528.200073242188
2019-05-03,9650.0
2019-05-04,9527.39990234375
2019-05-05,9527.39990234375
2019-05-06,9527.39990234375
2019-05-07,9275.399780273438
2019-05-08,9309.400024414062
2019-05-09,9284.400024414062
2019-05-10,9260.0
2019-05-11,8855.599975585938
2019-05-12,8855.599975585938
2019-05-13,8855.599975585938
2019-05-14,8917.19970703125
2019-05-15,8887.19970703125
2019-05-16,8944.7998046875
2019-05-17,8831.199951171875
2019-05-18,8761.799926757812
2019-05-19,8761.799926757812
2019-05-20,8761.799926757812
2019-05-21,8833.200073242188
2019-05-22,8782.80029296875
2019-05-23,8677.80029296875
2019-05-24,8715.2001953125
2019-05-25,8586.199951171875
2019-05-26,8586.199951171875
2019-05-27,8586.199951171875
2019-05-28,8586.199951171875
2019-05-29,8558.599853515625
2019-05-30,8531.799926757812
2019-05-31,8311.199951171875
2019-06-01,8397.999877929688
2019-06-02,8397.999877929688
2019-06-03,8397.999877929688
2019-06-04,8690.599975585938
2019-06-05,8762.999877929688
2019-06-06,8784.600219726562
2019-06-07,8882.19970703125
2019-06-08,8876.199951171875
2019-06-09,8876.199951171875
2019-06-10,8876.199951171875
2019-06-11,8862.39990234375
2019-06-12,8925.0
2019-06-13,8965.599975585938
2019-06-14,8939.400024414062
2019-06-15,8802.39990234375
2019-06-16,8802.39990234375
2019-06-17,8802.39990234375
2019-06-18,8986.199951171875
2019-06-19,9099.000244140625
2019-06-20,9311.599731445312
2019-06-21,9364.7998046875
2019-06-22,9267.999877929688
2019-06-23,9267.999877929688
2019-06-24,9267.999877929688
2019-06-25,9167.19970703125
2019-06-26,9219.199829101562
2019-06-27,9289.600219726562
2019-06-28,9385.999755859375
2019-06-29,9458.599853515625
2019-06-30,9458.599853515625
2019-07-01,9458.599853515625
2019-07-02,9397.39990234375
2019-07-03,9507.000122070312
2019-07-04,9573.800048828125
2019-07-05,9573.800048828125
2019-07-06,9448.800048828125
2019-07-07,9448.800048828125
2019-07-08,9448.800048828125
2019-07-09,9476.400146484375
2019-07-10,9510.800170898438
2019-07-11,9601.400146484375
2019-07-12,9649.199829101562
2019-07-13,9634.000244140625
2019-07-14,9634.000244140625
2019-07-15,9634.000244140625
2019-07-16,9543.400268554688
2019-07-17,9420.0
2019-07-18,9502.80029296875
2019-07-19,9464.7998046875
2019-07-20,9470.999755859375
2019-07-21,9470.999755859375
2019-07-22,9470.999755859375
2019-07-23,9549.199829101562
2019-07-24,9542.999877929688
2019-07-25,9477.39990234375
2019-07-26,9563.400268554688
2019-07-27,9566.199951171875
2019-07-28,9566.199951171875
2019-07-29,9566.199951171875
2019-07-30,9568.200073242188
2019-07-31,9353.599853515625
2019-08-01,9039.000244140625
2019-08-02,8964.400024414062
2019-08-03,8626.400146484375
2019-08-04,8626.400146484375
2019-08-05,8626.400146484375
2019-08-06,8714.199829101562
2019-08-07,8607.80029296875
2019-08-08,8752.39990234375
2019-08-09,8526.599731445312
2019-08-10,8328.800048828125
2019-08-11,8328.800048828125
2019-08-12,8328.800048828125
2019-08-13,8506.599731445312
2019-08-14,8227.39990234375
2019-08-15,8185.999755859375
2019-08-16,8389.199829101562
2019-08-17,8511.199951171875
2019-08-18,8511.199951171875
2019-08-19,8511.199951171875
2019-08-20,8365.800170898438
2019-08-21,8418.599853515625
2019-08-22,8380.0
2019-08-23,8145.0
2019-08-24,8109.4000244140625
2019-08-25,8109.4000244140625
2019-08-26,8109.4000244140625
2019-08-27,8210.2001953125
2019-08-28,8276.799926757812
2019-08-29,8440.800170898438
2019-08-30,8451.199951171875
2019-08-31,8316.400146484375
2019-09-01,8316.400146484375
2019-09-02,8316.400146484375
2019-09-03,8316.400146484375
2019-09-04,8312.80029296875
2019-09-05,8494.400024414062
2019-09-06,8476.599731445312
2019-09-07,8617.000122070312
2019-09-08,8617.000122070312
2019-09-09,8617.000122070312
2019-09-10,8566.799926757812
2019-09-11,8656.599731445312
2019-09-12,8695.0
2019-09-13,8859.199829101562
2019-09-14,8714.199829101562
2019-09-15,8714.199829101562
2019-09-16,8714.199829101562
2019-09-17,8783.599853515625
2019-09-18,8863.200073242188
2019-09-19,8879.600219726562
2019-09-20,8887.80029296875
2019-09-21,8924.000244140625
2019-09-22,8924.000244140625
2019-09-23,8924.000244140625
2019-09-24,8842.39990234375
2019-09-25,8903.800048828125
2019-09-26,8920.0
2019-09-27,8922.60009765625
2019-09-28,8912.80029296875
2019-09-29,8912.80029296875
2019-09-30,8912.80029296875
2019-10-01,8673.800048828125
2019-10-02,8407.19970703125
2019-10-03,8392.19970703125
2019-10-04,8548.800048828125
2019-10-05,8463.400268554688
2019-10-06,8463.400268554688
2019-10-07,8463.400268554688
2019-10-08,8263.200073242188
2019-10-09,8343.400268554688
2019-10-10,8407.60009765625
2019-10-11,8680.0
2019-10-12,8684.199829101562
2019-10-13,8684.199829101562
2019-10-14,8684.199829101562
2019-10-15,8889.000244140625
2019-10-16,8927.999877929688
2019-10-17,9013.400268554688
2019-10-18,8900.800170898438
2019-10-19,9072.999877929688
2019-10-20,9072.999877929688
2019-10-21,9072.999877929688
2019-10-22,9006.400146484375
2019-10-23,9141.199951171875
2019-10-24,9093.200073242188
2019-10-25,9195.999755859375
2019-10-26,9331.199951171875
2019-10-27,9331.199951171875
2019-10-28,9331.199951171875
2019-10-29,9323.200073242188
2019-10-30,9338.800048828125
2019-10-31,9234.000244140625
2019-11-01,9383.400268554688
2019-11-02,9530.599975585938
2019-11-03,9530.599975585938
2019-11-04,9530.599975585938
2019-11-05,9648.800048828125
2019-11-06,9790.800170898438
2019-11-07,9803.200073242188
2019-11-08,9804.199829101562
2019-11-09,9735.800170898438
2019-11-10,9735.800170898438
2019-11-11,9735.800170898438
2019-11-12,9735.800170898438
2019-11-13,9711.400146484375
2019-11-14,9691.799926757812
2019-11-15,9819.199829101562
2019-11-16,9834.7998046875
2019-11-17,9834.7998046875
2019-11-18,9834.7998046875
2019-11-19,9855.999755859375
2019-11-20,9776.199951171875
2019-11-21,9699.600219726562
2019-11-22,9700.0
2019-11-23,9837.19970703125
2019-11-24,9837.19970703125
2019-11-25,9837.19970703125
2019-11-26,9817.80029296875
2019-11-27,9884.199829101562
2019-11-28,9898.200073242188
2019-11-29,9898.200073242188
2019-11-30,9794.000244140625
2019-12-01,9794.000244140625
2019-12-02,9794.000244140625
2019-12-03,9715.2001953125
2019-12-04,9733.800048828125
2019-12-05,9805.999755859375
2019-12-06,9915.2001953125
2019-12-07,9941.400146484375
2019-12-08,9941.400146484375
2019-12-09,9941.400146484375
2019-12-10,9880.599975585938
2019-12-11,9878.200073242188
2019-12-12,10042.39990234375
2019-12-13,9972.19970703125
2019-12-14,10040.999755859375
2019-12-15,10040.999755859375
2019-12-16,10040.999755859375
2019-12-17,10045.800170898438
2019-12-18,9989.7998046875
2019-12-19,10046.799926757812
2019-12-20,9991.799926757812
2019-12-21,9993.200073242188
2019-12-22,9993.200073242188
2019-12-23,9993.200073242188
