,Healthcare_Fund_Value
2017-02-21,2247.9801025390625
2017-02-22,2247.9801025390625
2017-02-23,2276.4000854492188
2017-02-24,2282.8399658203125
2017-02-25,2315.320068359375
2017-02-26,2315.320068359375
2017-02-27,2315.320068359375
2017-02-28,2315.320068359375
2017-03-01,2351.1600341796875
2017-03-02,2342.3399658203125
2017-03-03,2354.7999572753906
2017-03-04,2361.7999572753906
2017-03-05,2361.7999572753906
2017-03-06,2361.7999572753906
2017-03-07,2356.2000427246094
2017-03-08,2350.7400512695312
2017-03-09,2352.139923095703
2017-03-10,2379.719940185547
2017-03-11,2382.9400939941406
2017-03-12,2382.9400939941406
2017-03-13,2382.9400939941406
2017-03-14,2366.8399658203125
2017-03-15,2404.9199829101562
2017-03-16,2398.2000427246094
2017-03-17,2375.7999572753906
2017-03-18,2352.0
2017-03-19,2352.0
2017-03-20,2352.0
2017-03-21,2347.7999572753906
2017-03-22,2338.4199829101562
2017-03-23,2314.0599060058594
2017-03-24,2310.0
2017-03-25,2304.4000854492188
2017-03-26,2304.4000854492188
2017-03-27,2304.4000854492188
2017-03-28,2314.9000854492188
2017-03-29,2288.1600341796875
2017-03-30,2309.860076904297
2017-03-31,2296.139923095703
2017-04-01,2318.2599487304688
2017-04-02,2318.2599487304688
2017-04-03,2318.2599487304688
2017-04-04,2309.5800170898438
2017-04-05,2315.179931640625
2017-04-06,2314.7599487304688
2017-04-07,2324.280059814453
2017-04-08,2316.719940185547
2017-04-09,2316.719940185547
2017-04-10,2316.719940185547
2017-04-11,2321.6200256347656
2017-04-12,2317.8399658203125
2017-04-13,2309.4400939941406
2017-04-14,2340.5198974609375
2017-04-15,2340.5198974609375
2017-04-16,2340.5198974609375
2017-04-17,2340.5198974609375
2017-04-18,2360.2599487304688
2017-04-19,2369.5
2017-04-20,2401.5599060058594
2017-04-21,2396.2400512695312
2017-04-22,2412.6200256347656
2017-04-23,2412.6200256347656
2017-04-24,2412.6200256347656
2017-04-25,2436.5599060058594
2017-04-26,2441.320068359375
2017-04-27,2444.820068359375
2017-04-28,2448.320068359375
2017-04-29,2444.2599487304688
2017-04-30,2444.2599487304688
2017-05-01,2444.2599487304688
2017-05-02,2437.959991455078
2017-05-03,2415.5599060058594
2017-05-04,2436.280059814453
2017-05-05,2437.679931640625
2017-05-06,2442.1600341796875
2017-05-07,2442.1600341796875
2017-05-08,2442.1600341796875
2017-05-09,2425.360076904297
2017-05-10,2427.459991455078
2017-05-11,2426.4801025390625
2017-05-12,2405.3399658203125
2017-05-13,2401.4199829101562
2017-05-14,2401.4199829101562
2017-05-15,2401.4199829101562
2017-05-16,2353.679931640625
2017-05-17,2364.040008544922
2017-05-18,2400.2999572753906
2017-05-19,2416.2599487304688
2017-05-20,2445.7999572753906
2017-05-21,2445.7999572753906
2017-05-22,2445.7999572753906
2017-05-23,2453.0800170898438
2017-05-24,2458.2599487304688
2017-05-25,2492.7000427246094
2017-05-26,2485.0
2017-05-27,2472.2599487304688
2017-05-28,2472.2599487304688
2017-05-29,2472.2599487304688
2017-05-30,2472.2599487304688
2017-05-31,2452.5198974609375
2017-06-01,2514.1200256347656
2017-06-02,2511.459991455078
2017-06-03,2511.179931640625
2017-06-04,2511.179931640625
2017-06-05,2511.179931640625
2017-06-06,2531.4801025390625
2017-06-07,2564.9400939941406
2017-06-08,2543.6600341796875
2017-06-09,2540.4400939941406
2017-06-10,2509.5
2017-06-11,2509.5
2017-06-12,2509.5
2017-06-13,2534.7000427246094
2017-06-14,2553.040008544922
2017-06-15,2525.320068359375
2017-06-16,2542.820068359375
2017-06-17,2562.280059814453
2017-06-18,2562.280059814453
2017-06-19,2562.280059814453
2017-06-20,2565.780059814453
2017-06-21,2588.8799743652344
2017-06-22,2611.0
2017-06-23,2593.5
2017-06-24,2591.679931640625
2017-06-25,2591.679931640625
2017-06-26,2591.679931640625
2017-06-27,2584.4000854492188
2017-06-28,2599.7999572753906
2017-06-29,2593.780059814453
2017-06-30,2595.8799743652344
2017-07-01,2613.0999145507812
2017-07-02,2613.0999145507812
2017-07-03,2613.0999145507812
2017-07-04,2635.5
2017-07-05,2635.5
2017-07-06,2617.1600341796875
2017-07-07,2631.4400939941406
2017-07-08,2617.2999572753906
2017-07-09,2617.2999572753906
2017-07-10,2617.2999572753906
2017-07-11,2603.2999572753906
2017-07-12,2613.6600341796875
2017-07-13,2596.719940185547
2017-07-14,2616.5999145507812
2017-07-15,2608.9000854492188
2017-07-16,2608.9000854492188
2017-07-17,2608.9000854492188
2017-07-18,2615.9000854492188
2017-07-19,2648.6600341796875
