,Fund_Value
2017-02-21,296696.42010253906
2017-02-22,296696.42010253906
2017-02-23,296724.8400854492
2017-02-24,296731.2799658203
2017-02-25,296763.7600683594
2017-02-26,296763.7600683594
2017-02-27,296763.7600683594
2017-02-28,296763.7600683594
2017-03-01,296799.6000341797
2017-03-02,296790.7799658203
2017-03-03,296803.2399572754
2017-03-04,296810.2399572754
2017-03-05,296810.2399572754
2017-03-06,296810.2399572754
2017-03-07,296804.6400427246
2017-03-08,296799.18005126953
2017-03-09,296800.5799230957
2017-03-10,296828.15994018555
2017-03-11,296831.38009399414
2017-03-12,296831.38009399414
2017-03-13,296831.38009399414
2017-03-14,296815.2799658203
2017-03-15,296853.35998291016
2017-03-16,296846.6400427246
2017-03-17,296824.2399572754
2017-03-18,296800.44
2017-03-19,296800.44
2017-03-20,296800.44
2017-03-21,296796.2399572754
2017-03-22,296786.85998291016
2017-03-23,296762.49990600586
2017-03-24,296758.44
2017-03-25,296752.8400854492
2017-03-26,296752.8400854492
2017-03-27,296752.8400854492
2017-03-28,296763.3400854492
2017-03-29,296736.6000341797
2017-03-30,296758.3000769043
2017-03-31,296744.5799230957
2017-04-01,296766.6999487305
2017-04-02,296766.6999487305
2017-04-03,296766.6999487305
2017-04-04,296758.02001708985
2017-04-05,296763.6199316406
2017-04-06,296763.1999487305
2017-04-07,296772.72005981446
2017-04-08,296765.15994018555
2017-04-09,296765.15994018555
2017-04-10,296765.15994018555
2017-04-11,296770.06002563477
2017-04-12,296766.2799658203
2017-04-13,296757.88009399414
2017-04-14,296788.95989746094
2017-04-15,296788.95989746094
2017-04-16,296788.95989746094
2017-04-17,296788.95989746094
2017-04-18,296808.6999487305
2017-04-19,296817.94
2017-04-20,296849.99990600586
2017-04-21,296844.68005126953
2017-04-22,296861.06002563477
2017-04-23,296861.06002563477
2017-04-24,296861.06002563477
2017-04-25,296884.99990600586
2017-04-26,296889.7600683594
2017-04-27,296893.2600683594
2017-04-28,296896.7600683594
2017-04-29,296892.6999487305
2017-04-30,296892.6999487305
2017-05-01,296892.6999487305
2017-05-02,296886.3999914551
2017-05-03,296863.99990600586
2017-05-04,296884.72005981446
2017-05-05,296886.1199316406
2017-05-06,296890.6000341797
2017-05-07,296890.6000341797
2017-05-08,296890.6000341797
2017-05-09,296873.8000769043
2017-05-10,296875.8999914551
2017-05-11,296874.92010253906
2017-05-12,296853.7799658203
2017-05-13,296849.85998291016
2017-05-14,296849.85998291016
2017-05-15,296849.85998291016
2017-05-16,296802.1199316406
2017-05-17,296812.4800085449
2017-05-18,296848.7399572754
2017-05-19,296864.6999487305
2017-05-20,296894.2399572754
2017-05-21,296894.2399572754
2017-05-22,296894.2399572754
2017-05-23,296901.52001708985
2017-05-24,296906.6999487305
2017-05-25,296941.1400427246
2017-05-26,296933.44
2017-05-27,296920.6999487305
2017-05-28,296920.6999487305
2017-05-29,296920.6999487305
2017-05-30,296920.6999487305
2017-05-31,296900.95989746094
2017-06-01,296962.56002563477
2017-06-02,296959.8999914551
2017-06-03,296959.6199316406
2017-06-04,296959.6199316406
2017-06-05,296959.6199316406
2017-06-06,296979.92010253906
2017-06-07,297013.38009399414
2017-06-08,296992.1000341797
2017-06-09,296988.88009399414
2017-06-10,296957.94
2017-06-11,296957.94
2017-06-12,296957.94
2017-06-13,296983.1400427246
2017-06-14,297001.4800085449
2017-06-15,296973.7600683594
2017-06-16,296991.2600683594
2017-06-17,297010.72005981446
2017-06-18,297010.72005981446
2017-06-19,297010.72005981446
2017-06-20,297014.22005981446
2017-06-21,297037.31997436524
2017-06-22,297059.44
2017-06-23,297041.94
2017-06-24,297040.1199316406
2017-06-25,297040.1199316406
2017-06-26,297040.1199316406
2017-06-27,297032.8400854492
2017-06-28,297048.2399572754
2017-06-29,297042.22005981446
2017-06-30,297044.31997436524
2017-07-01,297061.5399145508
2017-07-02,297061.5399145508
2017-07-03,297061.5399145508
2017-07-04,297083.94
2017-07-05,297083.94
2017-07-06,297065.6000341797
2017-07-07,297079.88009399414
2017-07-08,297065.7399572754
2017-07-09,297065.7399572754
2017-07-10,297065.7399572754
2017-07-11,297051.7399572754
2017-07-12,297062.1000341797
2017-07-13,297045.15994018555
2017-07-14,297065.0399145508
2017-07-15,297057.3400854492
2017-07-16,297057.3400854492
2017-07-17,297057.3400854492
2017-07-18,297064.3400854492
2017-07-19,297097.1000341797
2017-07-20,297129.44
2017-07-21,297133.35998291016
2017-07-22,297120.8999914551
2017-07-23,297120.8999914551
2017-07-24,297120.8999914551
2017-07-25,297114.0399145508
2017-07-26,297118.94
2017-07-27,297093.45989746094
2017-07-28,297124.5399145508
2017-07-29,297133.7799658203
2017-07-30,297133.7799658203
2017-07-31,297133.7799658203
2017-08-01,297139.65994018555
2017-08-02,297150.44
2017-08-03,297175.22005981446
2017-08-04,297176.7600683594
2017-08-05,297175.35998291016
2017-08-06,297175.35998291016
2017-08-07,297175.35998291016
2017-08-08,297177.0399145508
2017-08-09,297176.06002563477
2017-08-10,297144.42010253906
2017-08-11,297150.72005981446
2017-08-12,297160.38009399414
2017-08-13,297160.38009399414
2017-08-14,297160.38009399414
2017-08-15,297171.44
2017-08-16,297161.22005981446
2017-08-17,297146.2399572754
2017-08-18,297119.92010253906
2017-08-19,297136.85998291016
2017-08-20,297136.85998291016
2017-08-21,297136.85998291016
2017-08-22,297175.49990600586
2017-08-23,297167.8000769043
2017-08-24,297174.94
2017-08-25,297169.4800085449
2017-08-26,297179.6999487305
2017-08-27,297179.6999487305
2017-08-28,297179.6999487305
2017-08-29,297202.65994018555
2017-08-30,297190.7600683594
2017-08-31,297233.0399145508
2017-09-01,297244.94
2017-09-02,297238.7799658203
2017-09-03,297238.7799658203
2017-09-04,297238.7799658203
2017-09-05,297238.7799658203
2017-09-06,297225.7600683594
2017-09-07,297222.81997436524
2017-09-08,297216.94
2017-09-09,297242.56002563477
2017-09-10,297242.56002563477
2017-09-11,297242.56002563477
2017-09-12,297213.02001708985
2017-09-13,297225.06002563477
2017-09-14,297216.65994018555
2017-09-15,297222.95989746094
2017-09-16,297223.1000341797
2017-09-17,297223.1000341797
2017-09-18,297223.1000341797
2017-09-19,297173.5399145508
2017-09-20,297188.94
2017-09-21,297181.38009399414
2017-09-22,297150.85998291016
2017-09-23,297132.94
2017-09-24,297132.94
2017-09-25,297132.94
2017-09-26,297146.2399572754
2017-09-27,297171.3000769043
2017-09-28,297193.8400854492
2017-09-29,297190.3400854492
2017-09-30,297212.6000341797
2017-10-01,297212.6000341797
2017-10-02,297212.6000341797
2017-10-03,297229.2600683594
2017-10-04,297255.15994018555
2017-10-05,297219.0399145508
2017-10-06,297221.2799658203
2017-10-07,297196.6400427246
2017-10-08,297196.6400427246
2017-10-09,297196.6400427246
2017-10-10,297173.95989746094
2017-10-11,297182.0799230957
2017-10-12,297149.31997436524
2017-10-13,297143.72005981446
2017-10-14,297153.2399572754
2017-10-15,297153.2399572754
2017-10-16,297153.2399572754
2017-10-17,297302.8999914551
2017-10-18,297321.65994018555
2017-10-19,297293.94
2017-10-20,297353.3000769043
2017-10-21,297346.5799230957
2017-10-22,297346.5799230957
2017-10-23,297346.5799230957
2017-10-24,297362.5399145508
2017-10-25,297354.2799658203
2017-10-26,297376.5399145508
2017-10-27,297424.8400854492
2017-10-28,297379.8999914551
2017-10-29,297379.8999914551
2017-10-30,297379.8999914551
2017-10-31,297391.52001708985
2017-11-01,297381.85998291016
2017-11-02,297403.8400854492
2017-11-03,297428.6199316406
2017-11-04,297418.1199316406
2017-11-05,297418.1199316406
2017-11-06,297418.1199316406
2017-11-07,297426.2399572754
2017-11-08,297399.22005981446
2017-11-09,297410.2799658203
2017-11-10,297403.42010253906
2017-11-11,297425.68005126953
2017-11-12,297425.68005126953
2017-11-13,297425.68005126953
2017-11-14,297412.38009399414
2017-11-15,297386.4800085449
2017-11-16,297404.2600683594
2017-11-17,297387.0399145508
2017-11-18,297391.94
2017-11-19,297391.94
2017-11-20,297391.94
2017-11-21,297424.8400854492
2017-11-22,297405.52001708985
2017-11-23,297423.5799230957
2017-11-24,297423.5799230957
2017-11-25,297422.0399145508
2017-11-26,297422.0399145508
2017-11-27,297422.0399145508
2017-11-28,297474.3999914551
2017-11-29,297568.7600683594
2017-11-30,297642.81997436524
2017-12-01,297623.35998291016
2017-12-02,297548.31997436524
2017-12-03,297548.31997436524
2017-12-04,297548.31997436524
2017-12-05,297529.6999487305
2017-12-06,297527.6000341797
2017-12-07,297530.5399145508
2017-12-08,297583.18005126953
2017-12-09,297567.22005981446
