,Industrials_Fund_Value
2018-02-20,11368.5
2018-02-21,11345.399597167969
2018-02-22,11560.560241699219
2018-02-23,11819.939758300781
2018-02-24,11921.580322265625
2018-02-25,11921.580322265625
2018-02-26,11921.580322265625
2018-02-27,11775.71987915039
2018-02-28,11555.939758300781
2018-03-01,11433.840362548828
2018-03-02,11655.600402832031
2018-03-03,11926.860443115234
2018-03-04,11926.860443115234
2018-03-05,11926.860443115234
2018-03-06,12209.340362548828
2018-03-07,11969.100402832031
2018-03-08,12101.760040283203
2018-03-09,12500.399597167969
2018-03-10,12317.580322265625
2018-03-11,12317.580322265625
2018-03-12,12317.580322265625
2018-03-13,12318.899597167969
2018-03-14,12198.120483398438
2018-03-15,12072.060241699219
2018-03-16,12295.139556884766
2018-03-17,12236.399597167969
2018-03-18,12236.399597167969
2018-03-19,12236.399597167969
2018-03-20,12220.560241699219
2018-03-21,12359.820281982422
2018-03-22,11897.159637451172
2018-03-23,11495.879516601562
2018-03-24,11917.620483398438
2018-03-25,11917.620483398438
2018-03-26,11917.620483398438
2018-03-27,11691.899597167969
2018-03-28,11161.260040283203
2018-03-29,11400.179718017578
2018-03-30,10995.600402832031
2018-03-31,10995.600402832031
2018-04-01,10995.600402832031
2018-04-02,10995.600402832031
2018-04-03,11187.0
2018-04-04,11462.879516601562
2018-04-05,11744.040161132812
2018-04-06,11361.239959716797
2018-04-07,11348.040161132812
2018-04-08,11348.040161132812
2018-04-09,11348.040161132812
2018-04-10,11746.020080566406
2018-04-11,11482.020080566406
2018-04-12,11637.120483398438
2018-04-13,11414.699798583984
2018-04-14,11492.580322265625
2018-04-15,11492.580322265625
2018-04-16,11492.580322265625
2018-04-17,11717.639556884766
2018-04-18,11880.0
2018-04-19,11102.520080566406
2018-04-20,10772.520080566406
2018-04-21,10798.260040283203
2018-04-22,10798.260040283203
2018-04-23,10798.260040283203
2018-04-24,10324.379516601562
2018-04-25,10420.080322265625
2018-04-26,10253.100402832031
2018-04-27,10250.459838867188
2018-04-28,9900.0
2018-04-29,9900.0
2018-04-30,9900.0
2018-05-01,9810.239959716797
2018-05-02,9853.139556884766
2018-05-03,9886.800201416016
2018-05-04,10113.179718017578
