,TMT_Fund_Value
2019-02-12,22340.009872436523
2019-02-13,22323.289489746094
2019-02-14,22342.10031890869
2019-02-15,22617.980255126953
2019-02-16,22607.52961730957
2019-02-17,22607.52961730957
2019-02-18,22607.52961730957
2019-02-19,22607.52961730957
2019-02-20,22394.35031890869
2019-02-21,22866.69076538086
2019-02-22,23192.730255126953
2019-02-23,23322.30923461914
2019-02-24,23322.30923461914
2019-02-25,23322.30923461914
2019-02-26,23483.240127563477
2019-02-27,23443.52961730957
2019-02-28,23414.269744873047
2019-03-01,23518.769744873047
2019-03-02,23462.340446472168
2019-03-03,23462.340446472168
2019-03-04,23462.340446472168
2019-03-05,23345.299362182617
2019-03-06,23355.75
2019-03-07,23071.509872436523
2019-03-08,23096.590446472168
2019-03-09,23581.47038269043
2019-03-10,23581.47038269043
2019-03-11,23581.47038269043
2019-03-12,23746.580574035645
2019-03-13,23930.5
2019-03-14,23949.30923461914
2019-03-15,24225.19076538086
2019-03-16,24572.12993621826
2019-03-17,24572.12993621826
2019-03-18,24572.12993621826
2019-03-19,24588.85031890869
2019-03-20,24561.67929840088
2019-03-21,25125.980255126953
2019-03-22,24463.450637817383
2019-03-23,24590.94076538086
2019-03-24,24590.94076538086
2019-03-25,24590.94076538086
2019-03-26,24643.19076538086
2019-03-27,24404.92929840088
2019-03-28,24438.37006378174
2019-03-29,24649.460510253906
2019-03-30,24875.17929840088
2019-03-31,24875.17929840088
2019-04-01,24875.17929840088
2019-04-02,24910.710510253906
2019-04-03,25073.730255126953
2019-04-04,24946.240127563477
2019-04-05,25057.009872436523
2019-04-06,25065.37006378174
2019-04-07,25065.37006378174
2019-04-08,25065.37006378174
2019-04-09,24929.519744873047
2019-04-10,25119.710510253906
2019-04-11,25148.97038269043
2019-04-12,25278.549362182617
2019-04-13,25299.450637817383
2019-04-14,25299.450637817383
2019-04-15,25299.450637817383
2019-04-16,25240.92929840088
2019-04-17,25449.92929840088
2019-04-18,25784.330574035645
2019-04-19,25865.840446472168
2019-04-20,25865.840446472168
2019-04-21,25865.840446472168
2019-04-22,25865.840446472168
2019-04-23,26216.960510253906
2019-04-24,26127.090446472168
2019-04-25,26992.348724365234
2019-04-26,27147.009872436523
2019-04-27,27121.930892944336
2019-04-28,27121.930892944336
2019-04-29,27121.930892944336
2019-04-30,27295.401275634766
2019-05-01,26726.919425964355
2019-05-02,26377.889808654785
2019-05-03,26940.098724365234
2019-05-04,26783.348724365234
2019-05-05,26783.348724365234
2019-05-06,26783.348724365234
2019-05-07,26233.67929840088
2019-05-08,26231.590446472168
2019-05-09,26229.5
2019-05-10,26570.169425964355
2019-05-11,25780.14968109131
2019-05-12,25780.14968109131
2019-05-13,25780.14968109131
2019-05-14,26068.57070159912
2019-05-15,26338.17929840088
2019-05-16,26946.36846923828
2019-05-17,26766.63153076172
2019-05-18,26379.980255126953
2019-05-19,26379.980255126953
2019-05-20,26379.980255126953
2019-05-21,26522.10031890869
2019-05-22,26683.02961730957
2019-05-23,26371.62006378174
2019-05-24,26384.159553527832
2019-05-25,26367.44076538086
2019-05-26,26367.44076538086
2019-05-27,26367.44076538086
2019-05-28,26367.44076538086
2019-05-29,26112.460510253906
2019-05-30,26277.57070159912
2019-05-31,25849.12006378174
2019-06-01,25046.55923461914
2019-06-02,25046.55923461914
2019-06-03,25046.55923461914
2019-06-04,25740.44076538086
2019-06-05,26298.47038269043
2019-06-06,26714.37993621826
2019-06-07,27462.598724365234
2019-06-08,27713.401275634766
2019-06-09,27713.401275634766
2019-06-10,27713.401275634766
2019-06-11,27608.901275634766
2019-06-12,27481.41114807129
2019-06-13,27654.88153076172
2019-06-14,27682.049362182617
2019-06-15,27765.651275634766
2019-06-16,27765.651275634766
2019-06-17,27765.651275634766
2019-06-18,28248.44076538086
2019-06-19,28359.210510253906
2019-06-20,28622.549362182617
2019-06-21,28626.730255126953
2019-06-22,28796.019744873047
2019-06-23,28796.019744873047
2019-06-24,28796.019744873047
2019-06-25,27886.86846923828
2019-06-26,27991.36846923828
2019-06-27,28037.348724365234
2019-06-28,27997.641403198242
2019-06-29,28357.11846923828
