,ABB,AAPL,BLK,DFS,EOG,HD,JPM,KGC,MBUU,MCD,MDT,MSFT,NVDA,PTC,REGN,SE,SRE,SOFI,UNH,VLD,ELV,BERY,GTN,HCA,LGIH,LMT,OLLI,OKE,PLD,URI,Cash,Fund_Value
2017-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2247.9801025390625,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296696.42010253906
2017-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2247.9801025390625,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296696.42010253906
2017-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2276.4000854492188,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296724.8400854492
2017-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2282.8399658203125,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296731.2799658203
2017-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2315.320068359375,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296763.7600683594
2017-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2315.320068359375,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296763.7600683594
2017-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2315.320068359375,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296763.7600683594
2017-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2315.320068359375,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296763.7600683594
2017-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2351.1600341796875,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296799.6000341797
2017-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2342.3399658203125,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296790.7799658203
2017-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2354.7999572753906,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296803.2399572754
2017-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2361.7999572753906,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296810.2399572754
2017-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2361.7999572753906,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296810.2399572754
2017-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2361.7999572753906,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296810.2399572754
2017-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2356.2000427246094,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296804.6400427246
2017-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2350.7400512695312,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296799.18005126953
2017-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2352.139923095703,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296800.5799230957
2017-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2379.719940185547,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296828.15994018555
2017-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2382.9400939941406,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296831.38009399414
2017-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2382.9400939941406,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296831.38009399414
2017-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2382.9400939941406,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296831.38009399414
2017-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2366.8399658203125,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296815.2799658203
2017-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2404.9199829101562,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296853.35998291016
2017-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2398.2000427246094,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296846.6400427246
2017-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2375.7999572753906,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296824.2399572754
2017-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2352.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296800.44
2017-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2352.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296800.44
2017-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2352.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296800.44
2017-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2347.7999572753906,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296796.2399572754
2017-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2338.4199829101562,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296786.85998291016
2017-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2314.0599060058594,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296762.49990600586
2017-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2310.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296758.44
2017-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2304.4000854492188,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296752.8400854492
2017-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2304.4000854492188,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296752.8400854492
2017-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2304.4000854492188,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296752.8400854492
2017-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2314.9000854492188,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296763.3400854492
2017-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2288.1600341796875,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296736.6000341797
2017-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2309.860076904297,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296758.3000769043
2017-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2296.139923095703,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296744.5799230957
2017-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2318.2599487304688,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296766.6999487305
2017-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2318.2599487304688,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296766.6999487305
2017-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2318.2599487304688,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296766.6999487305
2017-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2309.5800170898438,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296758.02001708985
2017-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2315.179931640625,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296763.6199316406
2017-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2314.7599487304688,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296763.1999487305
2017-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2324.280059814453,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296772.72005981446
2017-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2316.719940185547,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296765.15994018555
2017-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2316.719940185547,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296765.15994018555
2017-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2316.719940185547,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296765.15994018555
2017-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2321.6200256347656,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296770.06002563477
2017-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2317.8399658203125,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296766.2799658203
2017-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2309.4400939941406,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296757.88009399414
2017-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2340.5198974609375,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296788.95989746094
2017-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2340.5198974609375,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296788.95989746094
2017-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2340.5198974609375,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296788.95989746094
2017-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2340.5198974609375,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296788.95989746094
2017-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2360.2599487304688,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296808.6999487305
2017-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2369.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296817.94
2017-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2401.5599060058594,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296849.99990600586
2017-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2396.2400512695312,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296844.68005126953
2017-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2412.6200256347656,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296861.06002563477
2017-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2412.6200256347656,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296861.06002563477
2017-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2412.6200256347656,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296861.06002563477
2017-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2436.5599060058594,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296884.99990600586
2017-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2441.320068359375,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296889.7600683594
2017-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2444.820068359375,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296893.2600683594
2017-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2448.320068359375,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296896.7600683594
2017-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2444.2599487304688,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296892.6999487305
2017-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2444.2599487304688,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296892.6999487305
2017-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2444.2599487304688,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296892.6999487305
2017-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2437.959991455078,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296886.3999914551
2017-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2415.5599060058594,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294448.44,296863.99990600586
